fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",sr_legacy_food,8,2019-04-01,384.9,10.93,2.06,80.65
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",sr_legacy_food,1,2019-04-01,64.6,10.9,1.0,3.0
167717,Yeast extract spread,sr_legacy_food,11,2019-04-01,185.3,23.88,0.9,20.42
167718,"Babyfood, juice, pear",sr_legacy_food,3,2019-04-01,47.4,0.0,0.0,11.86
167719,"Chicken, meatless, breaded, fried",sr_legacy_food,16,2019-04-01,234.1,21.28,12.77,8.51
167720,"Babyfood, meat, beef with vegetables, toddler",sr_legacy_food,3,2019-04-01,67.8,3.5,2.1,8.72
167721,"Frozen novelties, juice type, juice with cream",sr_legacy_food,19,2019-04-01,114.8,1.41,1.41,24.11
167722,Tofu yogurt,sr_legacy_food,16,2019-04-01,94.0,3.5,1.8,15.96
167723,"Alcoholic beverage, rice (sake)",sr_legacy_food,14,2019-04-01,22.0,0.5,0.0,5.0
167724,"Millet, puffed",sr_legacy_food,8,2019-04-01,402.6,13.0,3.4,80.0
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",sr_legacy_food,8,2019-04-01,379.0,10.0,3.0,78.0
167726,"Babyfood, mixed fruit yogurt, strained",sr_legacy_food,3,2019-04-01,75.3,0.8,0.8,16.23
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",sr_legacy_food,14,2019-04-01,140.8,5.16,4.52,19.88
167728,"Babyfood, rice and apples, dry",sr_legacy_food,3,2019-04-01,396.0,6.7,2.4,86.89
167729,"Babyfood, juice, apple - cherry",sr_legacy_food,3,2019-04-01,46.5,0.2,0.1,11.2
167730,"Milk, imitation, non-soy",sr_legacy_food,1,2019-04-01,45.6,1.6,2.0,5.3
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",sr_legacy_food,3,2019-04-01,388.5,6.6,0.9,88.5
167732,"Babyfood, banana no tapioca, strained",sr_legacy_food,3,2019-04-01,91.2,1.0,0.2,21.34
167733,"Babyfood, banana apple dessert, strained",sr_legacy_food,3,2019-04-01,68.2,0.3,0.2,16.3
167734,"Breakfast bar, corn flake crust with fruit",sr_legacy_food,23,2019-04-01,376.3,4.4,7.5,72.8
167735,"Cheese, mozzarella, low sodium",sr_legacy_food,1,2019-04-01,276.3,27.5,17.1,3.1
167736,"Mayonnaise dressing, no cholesterol",sr_legacy_food,4,2019-04-01,701.4,0.0,77.8,0.3
167737,"Oil, corn, peanut, and olive",sr_legacy_food,4,2019-04-01,900.0,0.0,100.0,0.0
167738,"Pie fillings, blueberry, canned",sr_legacy_food,19,2019-04-01,181.0,0.41,0.2,44.38
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",sr_legacy_food,14,2019-04-01,286.8,0.08,0.01,71.6
